funding_year,total_funding,deal_count,avg_deal_size
1960.0,52736030.0,9,13184008.0
1973.0,0.0,1,0.0
1974.0,0.0,2,0.0
1984.0,141000.0,3,70500.0
1985.0,0.0,1,0.0
1987.0,2500000.0,2,2500000.0
1989.0,15000.0,1,15000.0
1990.0,1000000.0,1,1000000.0
1992.0,2000000.0,1,2000000.0
1993.0,125000.0,2,125000.0
1994.0,13400000.0,2,6700000.0
1995.0,17300000.0,7,3460000.0
1996.0,13542500.0,7,3385625.0
1997.0,64620000.0,9,8077500.0
1998.0,153138990.0,28,9571187.0
1999.0,563938371.0,75,9398973.0
2000.0,1435688690.0,124,13804699.0
2001.0,833840736.0,94,11422476.0
2002.0,907498723.0,115,9552618.0
2003.0,904916919.0,154,7014860.0
2004.0,2199980863.0,286,8870891.0
2005.0,14887823410.0,1620,9648622.0
2006.0,20326967822.0,2400,8962508.0
2007.0,28713858516.0,3218,9970090.0
2008.0,38212663554.0,3731,11604210.0
2009.0,35641627279.0,4101,10051220.0
2010.0,48120862847.0,6185,8682942.0
2011.0,65535896623.0,9150,8037270.0
2012.0,63859936009.0,9929,7238714.0
2013.0,89699927811.0,11027,9187742.0
