funding_year,funding_stage,total_funding,deal_count
1960.0,Series A,0.0,1
1960.0,Venture,52736030.0,8
1973.0,Angel,0.0,1
1974.0,Angel,0.0,1
1974.0,Series A,0.0,1
1984.0,Angel,141000.0,3
1985.0,Angel,0.0,1
1987.0,Series A,2500000.0,1
1987.0,Series C+,0.0,1
1989.0,Angel,15000.0,1
1990.0,Venture,1000000.0,1
1992.0,Venture,2000000.0,1
1993.0,Angel,125000.0,2
1994.0,Venture,13400000.0,2
1995.0,Angel,500000.0,1
1995.0,Series A,12000000.0,3
1995.0,Series B,4800000.0,1
1995.0,Series C+,0.0,1
1995.0,Venture,0.0,1
1996.0,Angel,12500.0,3
1996.0,Series A,5530000.0,3
1996.0,Series B,8000000.0,1
1997.0,Angel,100000.0,1
1997.0,Series A,48300000.0,3
1997.0,Series B,2520000.0,1
1997.0,Series C+,7000000.0,2
1997.0,Venture,6700000.0,2
1998.0,Angel,502000.0,8
1998.0,Private Equity,0.0,1
1998.0,Series A,48486990.0,11
1998.0,Series B,74150000.0,4
1998.0,Series C+,25000000.0,2
1998.0,Venture,5000000.0,2
1999.0,Angel,3282400.0,13
1999.0,Other,29100000.0,3
1999.0,Private Equity,30000000.0,1
1999.0,Series A,215730162.0,32
1999.0,Series B,91060000.0,10
1999.0,Series C+,69250000.0,8
1999.0,Venture,125515809.0,8
2000.0,Angel,11811183.0,25
2000.0,Other,76000000.0,3
2000.0,Series A,363971223.0,52
2000.0,Series B,515970000.0,22
2000.0,Series C+,370170000.0,13
2000.0,Venture,97766284.0,9
2001.0,Angel,3006291.0,20
2001.0,Other,13350000.0,5
2001.0,Private Equity,2000000.0,1
2001.0,Series A,186846832.0,29
2001.0,Series B,131218722.0,13
2001.0,Series C+,328418802.0,12
2001.0,Venture,169000089.0,14
2002.0,Angel,7090193.0,22
2002.0,Other,214957049.0,5
2002.0,Post-IPO,300000.0,1
2002.0,Series A,192747392.0,31
2002.0,Series B,240588332.0,25
2002.0,Series C+,192330000.0,18
2002.0,Venture,59485757.0,13
2003.0,Angel,10482286.0,34
2003.0,Other,21530717.0,6
2003.0,Private Equity,0.0,1
2003.0,Series A,256280911.0,49
2003.0,Series B,266516124.0,29
2003.0,Series C+,242232066.0,17
2003.0,Venture,107874815.0,18
2004.0,Angel,14025904.0,32
2004.0,Other,19866935.0,8
2004.0,Private Equity,1000000.0,1
2004.0,Series A,623390485.0,120
2004.0,Series B,664164425.0,54
2004.0,Series C+,529308454.0,33
2004.0,Venture,348224660.0,38
2005.0,Angel,36137636.0,104
2005.0,Other,29448060.0,7
2005.0,Post-IPO,1000000000.0,1
2005.0,Private Equity,22922870.0,1
2005.0,Series A,3121525800.0,501
2005.0,Series B,2995750090.0,315
2005.0,Series C+,3809292486.0,256
2005.0,Venture,3872746468.0,435
2006.0,Angel,76751694.0,240
2006.0,Other,232342151.0,25
2006.0,Private Equity,129750000.0,5
2006.0,Series A,4168458881.0,669
2006.0,Series B,5105181649.0,434
2006.0,Series C+,5332399476.0,342
2006.0,Venture,5282083971.0,685
2007.0,Angel,186696819.0,595
2007.0,Other,1010414872.0,68
2007.0,Post-IPO,12000000.0,2
2007.0,Private Equity,13387128.0,3
2007.0,Series A,5994559901.0,963
2007.0,Series B,6410587811.0,530
2007.0,Series C+,8097883788.0,419
2007.0,Venture,6988328197.0,638
2008.0,Angel,252855824.0,818
2008.0,Crowdfunding,3000000.0,1
2008.0,Other,751350596.0,86
2008.0,Post-IPO,3200000000.0,1
2008.0,Private Equity,300900000.0,5
2008.0,Series A,6658185594.0,993
2008.0,Series B,7643668319.0,616
2008.0,Series C+,10467080663.0,455
2008.0,Venture,8935622558.0,756
2009.0,Angel,251699802.0,958
2009.0,Other,4193331219.0,259
2009.0,Post-IPO,4402750000.0,9
2009.0,Private Equity,117419374.0,6
2009.0,Series A,3847747404.0,720
2009.0,Series B,4614790404.0,484
2009.0,Series C+,7544408413.0,446
2009.0,Venture,10669480663.0,1219
2010.0,Angel,388645111.0,1381
2010.0,Crowdfunding,10264005.0,3
2010.0,Other,6771530755.0,521
2010.0,Post-IPO,676010481.0,4
2010.0,Private Equity,359600712.0,19
2010.0,Series A,5400167672.0,979
2010.0,Series B,5750025518.0,522
2010.0,Series C+,9419051171.0,510
2010.0,Venture,19345567422.0,2246
2011.0,Angel,723803848.0,2344
2011.0,Crowdfunding,18604000.0,4
2011.0,Other,4379751567.0,921
2011.0,Post-IPO,217882655.0,8
2011.0,Private Equity,3184238944.0,128
2011.0,Series A,8372653667.0,1325
2011.0,Series B,7595332255.0,607
2011.0,Series C+,14366843388.0,525
2011.0,Venture,26676786299.0,3288
2012.0,Angel,934422033.0,3017
2012.0,Crowdfunding,29113168.0,14
2012.0,Other,7764746063.0,1031
2012.0,Post-IPO,1466030723.0,11
2012.0,Private Equity,4773972020.0,271
2012.0,Series A,8032837021.0,1402
2012.0,Series B,5585231822.0,513
2012.0,Series C+,13647154352.0,555
2012.0,Venture,21626428807.0,3115
2013.0,Angel,1075410022.0,3213
2013.0,Crowdfunding,120887594.0,89
2013.0,Other,17840181723.0,1236
2013.0,Post-IPO,3659979350.0,48
2013.0,Private Equity,17161770360.0,600
2013.0,Series A,10081661974.0,1884
2013.0,Series B,7570842247.0,680
2013.0,Series C+,14398122952.0,579
2013.0,Venture,17791071589.0,2698
